Headline,Scraped_Time
AI agent bankrupted their operator while trying to scan DN42,2026-06-12 15:07:15.564610
lantian.pub,2026-06-12 15:07:15.564610
"If you are asking for human attention, demonstrate human effort",2026-06-12 15:07:15.564610
tombedor.dev,2026-06-12 15:07:15.564610
Nobody ever gets credit for fixing problems that never happened (2001) [pdf],2026-06-12 15:07:15.564610
web.mit.edu,2026-06-12 15:07:15.564610
Show HN: Homebrew 6.0.0,2026-06-12 15:07:15.564610
brew.sh,2026-06-12 15:07:15.564610
How we made hit video game Prince of Persia,2026-06-12 15:07:15.564610
theguardian.com,2026-06-12 15:07:15.564610
"Show HN: FablePool – pool money behind a prompt, and Fable builds it in public",2026-06-12 15:07:15.564610
fablepool.com,2026-06-12 15:07:15.564610
Vinyl succumbs to Loudness War: more than just collateral damage (2025),2026-06-12 15:07:15.564610
magicvinyldigital.net,2026-06-12 15:07:15.564610
Claude Fable is relentlessly proactive,2026-06-12 15:07:15.564610
simonwillison.net,2026-06-12 15:07:15.564610
Anthropic apologizes for invisible Claude Fable guardrails,2026-06-12 15:07:15.564610
theverge.com,2026-06-12 15:07:15.564610
MiMo Code is now released and open-source,2026-06-12 15:07:15.564610
xiaomi.com,2026-06-12 15:07:15.564610
Digital Sovereignty Becomes an Imperative as the US Reads Dutch Emails,2026-06-12 15:07:15.564610
korte.co,2026-06-12 15:07:15.564610
Petition to Withdraw Canada's Bill C-22,2026-06-12 15:07:15.564610
ourcommons.ca,2026-06-12 15:07:15.564610
Removing 'um' from a recording is harder than it sounds,2026-06-12 15:07:15.564610
doug.sh,2026-06-12 15:07:15.564610
macOS 27 Beta breaks the ability to boot Asahi Linux,2026-06-12 15:07:15.564610
phoronix.com,2026-06-12 15:07:15.564610
Ear Training Practice,2026-06-12 15:07:15.564610
tonedear.com,2026-06-12 15:07:15.564610
Claude Fable 5: mid-tier results on coding tasks,2026-06-12 15:07:15.564610
endorlabs.com,2026-06-12 15:07:15.564610
Software is made between commits,2026-06-12 15:07:15.564610
zed.dev,2026-06-12 15:07:15.564610
Emacs appearances in pop culture,2026-06-12 15:07:15.564610
ianyepan.github.io,2026-06-12 15:07:15.564610
Lines of code got a better publicist,2026-06-12 15:07:15.564610
curlewis.co.nz,2026-06-12 15:07:15.564610
A jacket that harvests drinking water from the air,2026-06-12 15:07:15.564610
utexas.edu,2026-06-12 15:07:15.564610
Developer gets Half-Life running at 30 FPS on a Nokia N95,2026-06-12 15:07:15.564610
tomshardware.com,2026-06-12 15:07:15.564610
"Reading for pleasure is sharply down among schoolkids, report shows",2026-06-12 15:07:15.564610
nbcnews.com,2026-06-12 15:07:15.564610
The RCE that AMD wouldn't fix,2026-06-12 15:07:15.564610
mrbruh.com,2026-06-12 15:07:15.564610
How Terry Tao became an evangelist for AI in math,2026-06-12 15:07:15.564610
quantamagazine.org,2026-06-12 15:07:15.564610
"Speech Plus Prose 2000 vintage speech synthesizer, as used by Stephen Hawking [video]",2026-06-12 15:07:15.564610
youtube.com,2026-06-12 15:07:15.564610
WikiLambda the Ultimate,2026-06-12 15:07:15.564610
wikipedia.org,2026-06-12 15:07:15.564610
Finding Optimal Tokenizers,2026-06-12 15:07:15.564610
aqnichol.com,2026-06-12 15:07:15.564610
"A Commons of Software Productive Infrastructure, by and for Capital",2026-06-12 15:07:15.564610
marewolf.me,2026-06-12 15:07:15.564610
Apple didn't revolutionize power supplies; new transistors did (2012),2026-06-12 15:07:15.564610
righto.com,2026-06-12 15:07:15.564610
Device Clock Generation (2025),2026-06-12 15:07:15.564610
zipcpu.com,2026-06-12 15:07:15.564610
